gold_code,104,105,106,107,109,201,202,401,409,410,411,503,504,506,601,701,704
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
403,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0
408,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,2,1,0,1,0,1,1,0,0,0,0,0
504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
601,0,0,4,2,1,3,1,0,0,0,0,1,0,0,1,0,1
607,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
701,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
