gold_code,000,105,106,107,201,304,305,404,408,410,501,503,504,506,601,606,607,701,702,704,NONE
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
305,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,1,0
408,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1
410,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
503,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
601,0,0,1,0,2,0,1,0,0,0,0,1,0,0,4,4,0,0,0,1,0
607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
701,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
