gold_code,000,105,106,107,201,202,304,305,401,404,408,410,503,504,506,601,606,607,702,NONE
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
305,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
403,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,3
408,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
410,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
503,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0
504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
601,0,0,1,0,1,1,0,0,1,0,4,0,0,0,0,2,3,0,0,1
607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
701,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
704,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
