gold_code,000,105,106,107,201,303,304,404,408,410,503,504,506,601,606,607,702,704,NONE
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3
408,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
410,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
503,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
504,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
601,0,0,1,0,2,0,0,0,0,1,0,0,0,5,2,0,0,1,2
607,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
701,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
