gold_code,000,101,105,106,107,304,408,410,415,501,503,504,505,506,601,607,702,704,705
104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,1,1
408,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
410,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
503,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2
504,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
601,2,2,0,2,1,0,3,0,0,0,1,0,0,0,3,0,0,0,0
607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
701,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
