gold_code,000,106,201,408,410,504,506,601,606,607,701,702,704,NONE
104,0,0,0,0,0,0,0,0,0,0,0,0,0,1
305,2,0,0,0,1,0,0,0,0,0,0,0,0,2
401,1,0,0,0,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403,1,0,0,1,0,0,0,0,0,0,0,1,1,3
408,1,0,0,0,1,0,0,0,0,0,0,0,1,1
410,1,0,0,0,1,0,0,0,0,0,0,0,0,1
501,0,0,0,0,0,0,0,0,0,0,0,0,0,1
503,1,0,1,1,0,0,0,0,0,0,0,0,1,2
504,0,0,0,0,0,1,0,0,0,0,0,0,0,0
506,0,0,0,0,0,0,1,0,0,0,0,0,0,0
601,0,1,0,1,0,0,0,4,3,0,0,0,1,4
607,0,0,0,0,0,0,0,0,0,2,0,0,0,0
701,0,0,0,0,1,0,0,0,0,0,1,0,0,0
704,0,0,0,0,0,0,0,0,0,0,0,0,1,0
