gold_code,000,101,102,105,106,107,201,301,303,402,404,410,501,504,506,601,606,607,702,704,NONE
104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4
408,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
410,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
503,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
601,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,5,1,0,0,1,1
607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
701,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
