bucket,n_cells,mean_model_1mmodal,mean_human_ret_1mmodal,mean_human_full_1mmodal,underdispersion_ratio_ret
high-agreement,140,0.025714285714285714,0.10049019607843139,0.13206521739130436,0.2558885017421602
mid-split,140,0.2092857142857143,0.4196078431372549,0.527445652173913,0.4987650200267023
high-split,196,0.2479591836734694,0.6425070028011204,0.7244759316770186,0.385924484235111
