config_id,unit_id,1mmodal_at10,Hnorm_at10,1mmodal_at5,Hnorm_at5,1mmodal_at3,Hnorm_at3
deepseek__deepseek-v4-flash__on,NZ-063,0.0,-0.0,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-flash__on,NZ-064,0.0,-0.0,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-flash__on,NZ-070,0.0,-0.0,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-pro__on,GB-009,0.30000000000000004,0.4084313719900203,0.4,0.5904362833084089,0.33333333333333337,0.579380164285695
deepseek__deepseek-v4-pro__on,GB-010,0.4,0.5331092497698139,0.4,0.5904362833084089,0.0,-0.0
deepseek__deepseek-v4-pro__on,GB-016,0.6,0.6387640052032226,0.6,0.6554587535412855,0.6666666666666667,1.0
deepseek__deepseek-v4-pro__on,GB-033,0.4,0.29228525323862886,0.4,0.4181656600790516,0.33333333333333337,0.579380164285695
deepseek__deepseek-v4-pro__on,GB-034,0.19999999999999996,0.27752801040644515,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-pro__on,GB-037,0.4,0.3899728733539151,0.4,0.4181656600790516,0.33333333333333337,0.579380164285695
deepseek__deepseek-v4-pro__on,GB-038,0.4,0.29228525323862886,0.19999999999999996,0.31091750708257115,0.33333333333333337,0.579380164285695
deepseek__deepseek-v4-pro__on,GB-039,0.09999999999999998,0.14118174150460763,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-pro__on,GB-050,0.19999999999999996,0.27752801040644515,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-pro__on,GB-053,0.0,-0.0,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-pro__on,GB-056,0.0,-0.0,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-pro__on,GB-061,0.09999999999999998,0.14118174150460763,0.19999999999999996,0.31091750708257115,0.33333333333333337,0.579380164285695
deepseek__deepseek-v4-pro__on,GB-066,0.30000000000000004,0.2652949955741215,0.19999999999999996,0.31091750708257115,0.33333333333333337,0.579380164285695
deepseek__deepseek-v4-pro__on,GB-071,0.09999999999999998,0.14118174150460763,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-pro__on,GB-074,0.0,-0.0,0.0,-0.0,0.0,-0.0
deepseek__deepseek-v4-pro__on,GB-077,0.0,-0.0,0.0,-0.0,0.0,-0.0
