model,n_items,k_conditions,Q,df,p
llama-3.1-8b-instant,50,4,4.695652173913044,3,0.19548850316421493
llama-3.3-70b-versatile,50,4,1.3902439024390243,3,0.7078232000052911
openai/gpt-oss-120b,50,4,1.6363636363636365,3,0.6511730026661331
openai/gpt-oss-20b,50,4,1.1111111111111112,3,0.7743925169714329
qwen/qwen3-32b,50,4,1.588235294117647,3,0.6620603202525777
