model,comparison,a,b,acc_a,acc_b,delta(b-a),b_fixed,a_kept(b_broke),discordant,statistic,p_raw,p_holm,sig_.05
deepseek/deepseek-v4-flash,context: BASE vs WINDOW,BASE,WINDOW,0.39666666666666667,0.44166666666666665,0.044999999999999984,67,40,107,6.317757009345795,0.011953473805129027,0.023906947610258054,True
deepseek/deepseek-v4-flash,context: WINDOW vs FULLDOC,WINDOW,FULLDOC,0.44166666666666665,0.4533333333333333,0.011666666666666659,59,52,111,0.32432432432432434,0.5690204003534877,0.5690204003534877,False
deepseek/deepseek-v4-flash,context: BASE vs FULLDOC,BASE,FULLDOC,0.39666666666666667,0.4533333333333333,0.05666666666666664,78,44,122,8.926229508196721,0.0028110405915931186,0.008433121774779355,True
google/gemma-4-26b-a4b-it,context: BASE vs WINDOW,BASE,WINDOW,0.43,0.48,0.04999999999999999,65,35,100,8.41,0.0037316266007680742,0.011194879802304223,True
google/gemma-4-26b-a4b-it,context: WINDOW vs FULLDOC,WINDOW,FULLDOC,0.48,0.43666666666666665,-0.043333333333333335,33,59,92,6.793478260869565,0.009149147579593788,0.018298295159187575,True
google/gemma-4-26b-a4b-it,context: BASE vs FULLDOC,BASE,FULLDOC,0.43,0.43666666666666665,0.006666666666666654,66,62,128,0.0703125,0.7908823229406241,0.7908823229406241,False
