model,comparison,a,b,acc_a,acc_b,delta(b-a),b_fixed,a_kept(b_broke),discordant,statistic,p_raw,p_holm,sig_.05
llama-3.1-8b-instant,structure: FULL vs HIER1,FULL,HIER1,0.20666666666666667,0.24,0.033333333333333326,25,15,40,2.025,0.15472892348537434,0.15472892348537434,False
llama-3.1-8b-instant,structure: FULL vs HIER2,FULL,HIER2,0.20666666666666667,0.37666666666666665,0.16999999999999998,65,14,79,31.645569620253166,1.850362459280653e-08,5.551087377841959e-08,True
llama-3.1-8b-instant,structure: HIER1 vs HIER2,HIER1,HIER2,0.24,0.37666666666666665,0.13666666666666666,57,16,73,21.91780821917808,2.845807615754724e-06,5.691615231509448e-06,True
openai/gpt-oss-120b,structure: FULL vs HIER1,FULL,HIER1,0.4066666666666667,0.45666666666666667,0.04999999999999999,26,11,37,5.297297297297297,0.0213585404338347,0.0427170808676694,True
openai/gpt-oss-120b,structure: FULL vs HIER2,FULL,HIER2,0.4066666666666667,0.39,-0.016666666666666663,25,30,55,0.2909090909090909,0.5896385516265671,0.5896385516265671,False
openai/gpt-oss-120b,structure: HIER1 vs HIER2,HIER1,HIER2,0.45666666666666667,0.39,-0.06666666666666665,15,35,50,7.22,0.007209570764742528,0.021628712294227585,True
qwen/qwen3-32b,structure: FULL vs HIER1,FULL,HIER1,0.39666666666666667,0.42,0.023333333333333317,24,17,41,0.8780487804878049,0.348736660138805,0.348736660138805,False
qwen/qwen3-32b,structure: FULL vs HIER2,FULL,HIER2,0.39666666666666667,0.34,-0.05666666666666664,18,35,53,4.830188679245283,0.027965569965861064,0.05593113993172213,False
qwen/qwen3-32b,structure: HIER1 vs HIER2,HIER1,HIER2,0.42,0.34,-0.07999999999999996,15,39,54,9.796296296296296,0.001748637004975701,0.005245911014927103,True
