model,n_items,k_conditions,Q,df,p
llama-3.1-8b-instant,300,3,45.645833333333336,2,1.2249919386409694e-10
openai/gpt-oss-120b,300,3,9.154929577464788,2,0.010280927608538134
qwen/qwen3-32b,300,3,12.35135135135135,2,0.002079400442381436
