model,condition,n,compliance,accuracy,accuracy|compliant,domain_accuracy,weighted_f1,n_errors,E1_cross_domain,E2_valence_flip,E5_catch_all,residual
llama-3.1-8b-instant,FULL,300,1.0,0.20666666666666667,0.20666666666666667,0.38333333333333336,0.23749283693416012,238,0.7773109243697479,0.012605042016806723,0.08403361344537816,0.1722689075630252
llama-3.1-8b-instant,HIER1,300,1.0,0.24,0.24,0.46,0.2654821072314166,228,0.7105263157894737,0.02631578947368421,0.02631578947368421,0.25
llama-3.1-8b-instant,HIER2,300,1.0,0.37666666666666665,0.37666666666666665,0.5833333333333334,0.39282567766174326,187,0.6684491978609626,0.026737967914438502,0.12299465240641712,0.25668449197860965
openai/gpt-oss-120b,FULL,300,0.95,0.4066666666666667,0.4280701754385965,0.54,0.4535082937326081,163,0.754601226993865,0.006134969325153374,0.2883435582822086,0.1901840490797546
openai/gpt-oss-120b,HIER1,300,0.98,0.45666666666666667,0.46598639455782315,0.61,0.4967206379432046,157,0.7070063694267515,0.01910828025477707,0.2484076433121019,0.20382165605095542
openai/gpt-oss-120b,HIER2,300,0.9966666666666667,0.39,0.391304347826087,0.5433333333333333,0.4107391826010026,182,0.7472527472527473,0.016483516483516484,0.25824175824175827,0.18681318681318682
qwen/qwen3-32b,FULL,300,0.9966666666666667,0.39666666666666667,0.3979933110367893,0.5666666666666667,0.4486038597896721,180,0.7166666666666667,0.005555555555555556,0.2833333333333333,0.20555555555555555
qwen/qwen3-32b,HIER1,300,0.98,0.42,0.42857142857142855,0.6,0.46079139557011206,168,0.6785714285714286,0.017857142857142856,0.20833333333333334,0.24404761904761904
qwen/qwen3-32b,HIER2,300,1.0,0.34,0.34,0.5466666666666666,0.3756504069660533,198,0.6868686868686869,0.015151515151515152,0.17676767676767677,0.25757575757575757
